Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,hint_message
P1,28,2,2,25,25,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,119,177,2,38,41,1,24,Rotary potentiometer
P2,27,2,2,26,26,127,127,0,0,1,2,11,11,0,0,0,0,1,1,0,0,179,177,2,38,41,1,24,Rotary potentiometer
P3,25,2,2,27,27,127,127,0,0,1,2,11,11,0,0,0,0,2,2,0,0,241,177,2,38,41,1,24,Rotary potentiometer
P4,26,2,2,28,28,127,127,0,0,1,2,11,11,0,0,0,0,3,3,0,0,302,177,2,38,41,1,24,Rotary potentiometer
P5,18,2,2,29,29,127,127,0,0,1,2,11,11,0,0,0,0,4,4,0,0,119,236,2,38,41,1,24,Rotary potentiometer
P6,17,2,2,30,30,127,127,0,0,1,2,11,11,0,0,0,0,5,5,0,0,179,236,2,38,41,1,24,Rotary potentiometer
P7,19,2,2,31,31,127,127,0,0,1,2,11,11,0,0,0,0,6,6,0,0,241,236,2,38,41,1,24,Rotary potentiometer
P8,20,2,2,32,32,127,127,0,0,1,2,11,11,0,0,0,0,7,7,0,0,302,236,2,38,41,1,24,Rotary potentiometer
P9,12,2,2,33,33,127,127,0,0,1,2,11,11,0,0,0,0,8,8,0,0,362,177,2,38,41,1,24,Rotary potentiometer
P10,11,2,2,34,34,91,91,0,0,1,2,11,11,0,0,0,0,9,9,0,0,423,177,2,38,41,1,24,Rotary potentiometer
P11,9,2,2,35,35,127,127,0,0,1,2,11,11,0,0,0,0,10,10,0,0,483,177,2,38,41,1,24,Rotary potentiometer
P12,10,2,2,36,36,127,127,0,0,1,2,11,11,0,0,0,0,11,11,0,0,544,177,2,38,41,1,24,Rotary potentiometer
P13,2,2,2,37,37,127,127,0,0,1,2,11,11,0,0,0,0,12,12,0,0,362,236,2,38,41,1,24,Rotary potentiometer
P14,1,2,2,38,38,127,127,0,0,1,2,11,11,0,0,0,0,13,13,0,0,423,236,2,38,41,1,24,Rotary potentiometer
P15,3,2,2,39,39,127,127,0,0,1,2,11,11,0,0,0,0,14,14,0,0,483,236,2,38,41,1,24,Rotary potentiometer
P16,4,2,2,40,40,127,127,0,0,1,2,11,11,0,0,0,0,15,15,0,0,544,236,2,38,41,1,24,Rotary potentiometer
F1,44,2,2,41,41,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,230,439,5,58,61,1,24,Slide potentiometer
F2,43,2,2,42,42,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,293,439,5,58,61,1,24,Slide potentiometer
B1,21,0,0,60,60,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,119,296,1,38,41,1,9,Push button + LED
B2,22,0,0,61,61,127,127,0,0,1,1,1,1,0,0,0,0,1,1,0,0,179,296,1,38,41,1,10,Push button + LED
B3,23,0,0,62,62,127,127,0,0,1,2,1,1,0,0,0,0,2,2,0,0,241,296,1,38,41,1,11,Push button + LED
B4,24,0,0,63,63,127,127,0,0,1,2,1,1,0,0,0,0,3,3,0,0,302,296,1,38,41,1,12,Push button + LED
