Name,MemoryPosition,midiType,midiType_2nd,Note,Note_2nd,MaximumValue,MaximumValue_2nd,MinimumValue,MinimumValue_2nd,MidiChannel,MidiChannel_2nd,Toggle,Toggle_2nd,Keys,Keys_2nd,Modifiers,Modifiers_2nd,DMXAddress,DMXAddress_2nd,Page,Hide,posX,posY,shape,dimensionX,dimensionY,labeler,led,led_2nd,hint_message,User_byte_3,User_byte_4,User_byte_5,User_byte_6,User_byte_7,User_byte_8,User_byte_9,User_byte_10,User_byte_11,User_byte_12,User_byte_14
1,27,2,2,1,1,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,284,450,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
2,25,2,2,2,2,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,224,450,1,30,30,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
3,19,2,2,3,3,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,344,450,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
4,17,2,2,4,4,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,404,450,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
5,21,0,0,10,19,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,539,200,11,59,59,1,0,0,.,0,0,0,0,0,0,0,5,2,0,0
6,22,0,0,11,18,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,419,200,11,59,59,1,0,0,.,0,0,0,0,0,0,0,5,2,0,0
7,23,0,0,12,17,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,299,200,11,59,59,1,0,0,.,0,0,0,0,0,0,0,5,2,0,0
8,24,0,0,13,16,127,127,0,0,1,2,1,1,0,0,0,0,0,0,0,0,179,200,11,59,59,1,0,0,.,0,0,0,0,0,0,0,5,2,0,0
9,18,2,2,5,5,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,344,404,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
10,20,2,2,6,6,127,127,0,0,1,2,11,11,0,0,0,0,0,0,0,0,404,404,1,29,29,1,32,0,.,0,0,0,0,0,0,0,7,9,0,0
